trip_id,trip_property_id,value
63087971,note,Waits at Fields Corner for last Red Line train
63087971,trip_type,wait
63088135,note,Waits at Quincy Center for last Red Line train
63088135,trip_type,wait
63088642,note,Waits at Fields Corner for last Red Line train
63088642,trip_type,wait
63088739,note,Waits at Quincy Center for last Red Line train
63088739,trip_type,wait
63089104,note,Waits at Fields Corner for last Red Line train
63089104,trip_type,wait
63089358,note,Waits at Quincy Center for last Red Line train
63089358,trip_type,wait
63092297,note,Waits at Sullivan Square for last Orange Line train
63092297,trip_type,wait
63092382,note,Waits at Malden Center for last Orange Line train
63092382,trip_type,wait
63092639,note,Waits at Sullivan Square for last Orange Line train
63092639,trip_type,wait
63092809,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
63092809,trip_type,wait
63092862,note,Waits at Harvard for last Red Line train
63092862,trip_type,wait
63093080,note,Waits at Sullivan Square for last Orange Line train
63093080,trip_type,wait
63093113,note,Waits at Wellington for last Orange Line train
63093113,trip_type,wait
63096339,note,Waits at Wellington for last Orange Line train
63096339,trip_type,wait
63096463,note,Waits at Sullivan Square for last Orange Line train
63096463,trip_type,wait
63096528,note,Waits at Wellington for last Orange Line train
63096528,trip_type,wait
63096564,note,Waits at Sullivan Square for last Orange Line train
63096564,trip_type,wait
63096646,note,Waits at Sullivan Square for last Orange Line train
63096646,trip_type,wait
63097007,note,Waits at Malden Center for last Orange Line train
63097007,trip_type,wait
63097011,note,Waits at Wellington for last Orange Line train
63097011,trip_type,wait
63097165,note,Waits at Sullivan Square for last Orange Line train
63097165,trip_type,wait
63097183,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
63097183,trip_type,wait
63097453,note,Waits at Sullivan Square for last Orange Line train
63097453,trip_type,wait
63097490,note,Waits at Wellington for last Orange Line train
63097490,trip_type,wait
63097619,note,Waits at Harvard for last Red Line train
63097619,trip_type,wait
63144874,note,Waits at some downtown stations for connections
63144874,trip_type,wait
63144927,note,Waits at some downtown stations for connections
63144927,trip_type,wait
63145231,note,Waits at some downtown stations for connections
63145231,trip_type,wait
63145238,note,Waits at some downtown stations for connections
63145238,trip_type,wait
63145536,note,Waits at some downtown stations for connections
63145536,trip_type,wait
63145670,note,Waits at some downtown stations for connections
63145670,trip_type,wait
63157199,note,Waits at Mt Auburn St @ Story St for last Red Line train
63157199,trip_type,wait
63157320,note,Waits at Mt Auburn St @ Story St for last Red Line train
63157320,trip_type,wait
63157698,note,Waits at Lechmere for last Green Line train
63157698,trip_type,wait
63157722,note,Waits at Lechmere for last Green Line train
63157722,trip_type,wait
63157828,note,Waits at Lechmere for last Green Line train
63157828,trip_type,wait
63157903,note,Waits at Western Ave @ Green St for last Red Line train
63157903,trip_type,wait
63158147,note,Waits at Lechmere for last Green Line train
63158147,trip_type,wait
63158361,note,Waits at Harvard for last Red Line train
63158361,trip_type,wait
63158405,note,Waits at Main St @ Kendall Station - Red Line for last Red Line train
63158405,trip_type,wait
63158479,note,Waits at Green St @ Magazine St for last Red Line train
63158479,trip_type,wait
63158900,note,Waits at Harvard for last Red Line train
63158900,trip_type,wait
63159661,note,Waits at Harvard for last Red Line train
63159661,trip_type,wait
63159732,note,Waits at Harvard for last Red Line train
63159732,trip_type,wait
63159919,note,Waits at Harvard for last Red Line train
63159919,trip_type,wait
63160016,note,Waits at Green St @ Magazine St for last Red Line train
63160016,trip_type,wait
63160170,note,Waits at Lechmere for last Green Line train
63160170,trip_type,wait
63160207,note,Waits at Lechmere for last Green Line train
63160207,trip_type,wait
63160275,note,Waits at Lechmere for last Green Line train
63160275,trip_type,wait
63160362,note,Waits at Western Ave @ Green St for last Red Line train
63160362,trip_type,wait
63163560,note,Waits at Lechmere for last Green Line train
63163560,trip_type,wait
